mosquito2: .word 12, 12
.byte 91,199,82,199,199,199,199,199,199,199,199,199,
164,164,199,82,199,199,199,199,199,164,164,164,
164,91,91,164,82,199,199,91,91,164,82,82,
199,199,82,73,91,82,91,164,164,82,164,199,
199,199,0,0,91,82,9,82,82,199,199,199,
0,0,164,199,0,9,82,82,82,0,199,199,
199,199,199,199,199,73,82,91,91,82,0,199,
199,199,199,199,199,0,0,73,82,0,0,199,
199,199,199,199,0,82,0,199,0,199,199,199,
199,199,199,199,0,199,0,199,0,0,199,199,
199,199,199,199,0,199,0,199,0,199,0,0,
199,199,199,199,199,0,199,0,199,0,199,199,


