mosquito: .word 12, 12
.byte 199,199,199,199,199,199,199,199,199,82,199,91,
91,164,91,199,199,199,199,199,164,199,91,164,
91,91,91,91,91,199,199,91,91,91,91,164,
91,91,91,164,164,91,82,91,73,82,199,199,
199,199,199,82,82,9,82,91,0,91,199,199,
199,199,0,82,82,82,9,91,199,164,91,199,
199,9,82,91,91,82,73,199,199,199,199,91,
199,82,0,82,73,91,91,199,199,199,199,199,
199,199,199,82,199,164,82,91,199,199,199,199,
199,199,82,91,199,164,199,91,199,199,199,199,
164,164,199,91,199,82,199,91,199,199,199,199,
199,199,91,199,82,199,91,199,199,199,199,199,

